Week,DFI_Arrival Date,Name,Type 1 Attendances,Total attendances,Attendances,Breaches,Within,4 Hour Performance
26/01/2014,26/01/2014,Ipswich Hospital NHS Trust,1388,1388,1388,15,1373,0.98919308357349
26/01/2014,26/01/2014,Mid Essex Hospital Services NHS Trust,1407,1451,1451,146,1305,0.89937973811165
26/01/2014,26/01/2014,The Princess Alexandra Hospital NHS Trust,1860,1860,1860,25,1835,0.98655913978495
26/01/2014,26/01/2014,East And North Hertfordshire NHS Trust,2330,2330,2330,65,2265,0.97210300429185
02/02/2014,02/02/2014,Cambridge University Hospitals NHS Foundation Trust,1929,1929,1929,56,1873,0.97096941420425
02/02/2014,02/02/2014,Ipswich Hospital NHS Trust,1397,1397,1397,33,1364,0.97637795275591
02/02/2014,02/02/2014,Mid Essex Hospital Services NHS Trust,1484,1533,1533,71,1462,0.95368558382257
02/02/2014,02/02/2014,The Princess Alexandra Hospital NHS Trust,1981,1981,1981,59,1922,0.97021706208985
02/02/2014,02/02/2014,East And North Hertfordshire NHS Trust,2460,2460,2460,58,2402,0.97642276422764
09/02/2014,09/02/2014,Cambridge University Hospitals NHS Foundation Trust,1996,1996,1996,142,1854,0.92885771543086
09/02/2014,09/02/2014,Ipswich Hospital NHS Trust,1511,1511,1511,60,1451,0.9602911978822
09/02/2014,09/02/2014,Mid Essex Hospital Services NHS Trust,1477,1539,1539,88,1451,0.94282001299545
09/02/2014,09/02/2014,The Princess Alexandra Hospital NHS Trust,1957,1957,1957,193,1764,0.90137966274911
09/02/2014,09/02/2014,East And North Hertfordshire NHS Trust,2409,2409,2409,103,2306,0.95724366957244
16/02/2014,16/02/2014,Cambridge University Hospitals NHS Foundation Trust,1996,1996,1996,142,1854,0.92885771543086
16/02/2014,16/02/2014,Ipswich Hospital NHS Trust,1511,1511,1511,60,1451,0.9602911978822
16/02/2014,16/02/2014,Mid Essex Hospital Services NHS Trust,1477,1539,1539,88,1451,0.94282001299545
16/02/2014,16/02/2014,The Princess Alexandra Hospital NHS Trust,1957,1957,1957,193,1764,0.90137966274911
16/02/2014,16/02/2014,East And North Hertfordshire NHS Trust,2409,2409,2409,103,2306,0.95724366957244
23/02/2014,23/02/2014,Cambridge University Hospitals NHS Foundation Trust,2027,2027,2027,60,1967,0.97039960532807
23/02/2014,23/02/2014,Ipswich Hospital NHS Trust,1357,1357,1357,22,1335,0.98378776713338
23/02/2014,23/02/2014,Mid Essex Hospital Services NHS Trust,1413,1440,1440,146,1294,0.89861111111111
23/02/2014,23/02/2014,The Princess Alexandra Hospital NHS Trust,1943,1943,1943,105,1838,0.94595985589295
23/02/2014,23/02/2014,East And North Hertfordshire NHS Trust,2387,2387,2387,221,2166,0.90741516547968
02/03/2014,02/03/2014,Cambridge University Hospitals NHS Foundation Trust,2041,2041,2041,123,1918,0.93973542381186
02/03/2014,02/03/2014,Ipswich Hospital NHS Trust,1547,1547,1547,50,1497,0.96767937944409
02/03/2014,02/03/2014,Mid Essex Hospital Services NHS Trust,1521,1588,1588,138,1450,0.91309823677582
02/03/2014,02/03/2014,The Princess Alexandra Hospital NHS Trust,1980,1980,1980,72,1908,0.96363636363636
02/03/2014,02/03/2014,East And North Hertfordshire NHS Trust,2479,2479,2479,112,2367,0.95482049213393
09/03/2014,09/03/2014,Cambridge University Hospitals NHS Foundation Trust,2189,2189,2189,149,2040,0.93193238921882
09/03/2014,09/03/2014,Ipswich Hospital NHS Trust,1576,1576,1576,33,1543,0.97906091370558
09/03/2014,09/03/2014,Mid Essex Hospital Services NHS Trust,1673,1701,1701,158,1543,0.90711346266902
09/03/2014,09/03/2014,The Princess Alexandra Hospital NHS Trust,2156,2156,2156,271,1885,0.87430426716141
09/03/2014,09/03/2014,East And North Hertfordshire NHS Trust,2563,2563,2563,206,2357,0.91962543893874
16/03/2014,16/03/2014,Cambridge University Hospitals NHS Foundation Trust,2204,2204,2204,137,2067,0.93784029038113
16/03/2014,16/03/2014,Ipswich Hospital NHS Trust,1544,1544,1544,31,1513,0.97992227979275
16/03/2014,16/03/2014,Mid Essex Hospital Services NHS Trust,1692,1758,1758,136,1622,0.9226393629124
16/03/2014,16/03/2014,The Princess Alexandra Hospital NHS Trust,2098,2098,2098,169,1929,0.91944709246902
16/03/2014,16/03/2014,East And North Hertfordshire NHS Trust,2635,2635,2635,124,2511,0.95294117647059
23/03/2014,23/03/2014,Cambridge University Hospitals NHS Foundation Trust,2075,2075,2075,209,1866,0.89927710843373
23/03/2014,23/03/2014,Ipswich Hospital NHS Trust,1611,1611,1611,40,1571,0.97517070142768
23/03/2014,23/03/2014,Mid Essex Hospital Services NHS Trust,1724,1772,1772,166,1606,0.90632054176072
23/03/2014,23/03/2014,The Princess Alexandra Hospital NHS Trust,2161,2161,2161,193,1968,0.91068949560389
23/03/2014,23/03/2014,East And North Hertfordshire NHS Trust,2697,2697,2697,134,2563,0.95031516499815
30/03/2014,30/03/2014,Cambridge University Hospitals NHS Foundation Trust,2398,2398,2398,248,2150,0.89658048373645
30/03/2014,30/03/2014,Ipswich Hospital NHS Trust,1507,1507,1507,46,1461,0.96947577969476
30/03/2014,30/03/2014,Mid Essex Hospital Services NHS Trust,1667,1717,1717,56,1661,0.9673849737915
30/03/2014,30/03/2014,The Princess Alexandra Hospital NHS Trust,2165,2165,2165,185,1980,0.91454965357968
30/03/2014,30/03/2014,East And North Hertfordshire NHS Trust,2565,2565,2565,106,2459,0.95867446393762
06/04/2014,06/04/2014,Cambridge University Hospitals NHS Foundation Trust,2157,2157,2157,217,1940,0.8993973110802
06/04/2014,06/04/2014,Ipswich Hospital NHS Trust,1601,1601,1601,48,1553,0.97001873828857
06/04/2014,06/04/2014,Mid Essex Hospital Services NHS Trust,1681,1731,1731,150,1581,0.91334488734835
06/04/2014,06/04/2014,The Princess Alexandra Hospital NHS Trust,2175,2175,2175,246,1929,0.88689655172414
06/04/2014,06/04/2014,East And North Hertfordshire NHS Trust,2593,2593,2593,186,2407,0.92826841496336
13/04/2014,13/04/2014,Cambridge University Hospitals NHS Foundation Trust,1923,1923,1923,137,1786,0.92875715028601
13/04/2014,13/04/2014,Ipswich Hospital NHS Trust,1496,1496,1496,54,1442,0.96390374331551
13/04/2014,13/04/2014,Mid Essex Hospital Services NHS Trust,1565,1594,1594,116,1478,0.92722710163112
13/04/2014,13/04/2014,The Princess Alexandra Hospital NHS Trust,2047,2047,2047,190,1857,0.90718124084025
13/04/2014,13/04/2014,East And North Hertfordshire NHS Trust,2427,2427,2427,154,2273,0.9365471775855
20/04/2014,20/04/2014,Cambridge University Hospitals NHS Foundation Trust,2013,2013,2013,122,1891,0.93939393939394
20/04/2014,20/04/2014,Ipswich Hospital NHS Trust,1629,1629,1629,27,1602,0.98342541436464
20/04/2014,20/04/2014,Mid Essex Hospital Services NHS Trust,1596,1640,1640,235,1405,0.85670731707317
20/04/2014,20/04/2014,The Princess Alexandra Hospital NHS Trust,2019,2019,2019,59,1960,0.97077761267954
20/04/2014,20/04/2014,East And North Hertfordshire NHS Trust,2298,2298,2298,123,2175,0.94647519582245
27/04/2014,27/04/2014,Cambridge University Hospitals NHS Foundation Trust,2232,2232,2232,244,1988,0.89068100358423
27/04/2014,27/04/2014,Ipswich Hospital NHS Trust,1627,1627,1627,66,1561,0.95943454210203
27/04/2014,27/04/2014,Mid Essex Hospital Services NHS Trust,1676,1724,1724,179,1545,0.8961716937355
27/04/2014,27/04/2014,The Princess Alexandra Hospital NHS Trust,2232,2232,2232,209,2023,0.90636200716846
27/04/2014,27/04/2014,East And North Hertfordshire NHS Trust,2467,2467,2467,299,2168,0.87880016214025
04/05/2014,04/05/2014,Cambridge University Hospitals NHS Foundation Trust,2073,2073,2073,210,1863,0.8986975397974
04/05/2014,04/05/2014,Ipswich Hospital NHS Trust,1487,1487,1487,35,1452,0.97646267652993
04/05/2014,04/05/2014,Mid Essex Hospital Services NHS Trust,1651,1711,1711,130,1581,0.92402104032729
04/05/2014,04/05/2014,The Princess Alexandra Hospital NHS Trust,2096,2096,2096,199,1897,0.9050572519084
04/05/2014,04/05/2014,East And North Hertfordshire NHS Trust,2506,2506,2506,240,2266,0.90422984836393
11/05/2014,11/05/2014,Cambridge University Hospitals NHS Foundation Trust,2220,2220,2220,255,1965,0.88513513513514
11/05/2014,11/05/2014,Ipswich Hospital NHS Trust,1519,1519,1519,51,1468,0.96642527978934
11/05/2014,11/05/2014,Mid Essex Hospital Services NHS Trust,1691,1727,1727,190,1537,0.88998262883613
11/05/2014,11/05/2014,The Princess Alexandra Hospital NHS Trust,2192,2192,2192,251,1941,0.88549270072993
11/05/2014,11/05/2014,East And North Hertfordshire NHS Trust,2577,2577,2577,256,2321,0.90065968180054
18/05/2014,18/05/2014,Cambridge University Hospitals NHS Foundation Trust,2197,2197,2197,253,1944,0.8848429676832
18/05/2014,18/05/2014,Ipswich Hospital NHS Trust,1577,1577,1577,44,1533,0.9720989220038
18/05/2014,18/05/2014,Mid Essex Hospital Services NHS Trust,1708,1750,1750,109,1641,0.93771428571429
18/05/2014,18/05/2014,The Princess Alexandra Hospital NHS Trust,2116,2116,2116,201,1915,0.90500945179584
18/05/2014,18/05/2014,East And North Hertfordshire NHS Trust,2691,2691,2691,173,2518,0.93571163136381
25/05/2014,25/05/2014,Cambridge University Hospitals NHS Foundation Trust,2196,2196,2196,279,1917,0.87295081967213
25/05/2014,25/05/2014,Ipswich Hospital NHS Trust,1509,1509,1509,38,1471,0.97481776010603
25/05/2014,25/05/2014,Mid Essex Hospital Services NHS Trust,1702,1738,1738,143,1595,0.91772151898734
25/05/2014,25/05/2014,The Princess Alexandra Hospital NHS Trust,2180,2180,2180,212,1968,0.90275229357798
25/05/2014,25/05/2014,East And North Hertfordshire NHS Trust,2595,2595,2595,137,2458,0.94720616570328
01/06/2014,01/06/2014,Cambridge University Hospitals NHS Foundation Trust,2091,2091,2091,147,1944,0.92969870875179
01/06/2014,01/06/2014,Ipswich Hospital NHS Trust,1432,1432,1432,14,1418,0.99022346368715
01/06/2014,01/06/2014,Mid Essex Hospital Services NHS Trust,1631,1668,1668,117,1551,0.92985611510791
01/06/2014,01/06/2014,The Princess Alexandra Hospital NHS Trust,1968,1968,1968,241,1727,0.8775406504065
01/06/2014,01/06/2014,East And North Hertfordshire NHS Trust,2366,2366,2366,149,2217,0.93702451394759
08/06/2014,08/06/2014,Cambridge University Hospitals NHS Foundation Trust,2149,2149,2149,243,1906,0.8869241507678
08/06/2014,08/06/2014,Ipswich Hospital NHS Trust,1566,1566,1566,44,1522,0.97190293742018
08/06/2014,08/06/2014,Mid Essex Hospital Services NHS Trust,1676,1721,1721,267,1454,0.84485764090645
08/06/2014,08/06/2014,The Princess Alexandra Hospital NHS Trust,2061,2061,2061,263,1798,0.87239204269772
08/06/2014,08/06/2014,East And North Hertfordshire NHS Trust,2567,2567,2567,128,2439,0.9501363459291
15/06/2014,15/06/2014,Cambridge University Hospitals NHS Foundation Trust,2200,2200,2200,268,1932,0.87818181818182
15/06/2014,15/06/2014,Ipswich Hospital NHS Trust,1672,1672,1672,47,1625,0.97188995215311
15/06/2014,15/06/2014,Mid Essex Hospital Services NHS Trust,1763,1806,1806,180,1626,0.90033222591362
15/06/2014,15/06/2014,The Princess Alexandra Hospital NHS Trust,2145,2145,2145,168,1977,0.92167832167832
15/06/2014,15/06/2014,East And North Hertfordshire NHS Trust,2685,2685,2685,69,2616,0.97430167597765
22/06/2014,22/06/2014,Cambridge University Hospitals NHS Foundation Trust,2181,2181,2181,230,1951,0.89454378725355
22/06/2014,22/06/2014,Ipswich Hospital NHS Trust,1569,1569,1569,22,1547,0.98597833014659
22/06/2014,22/06/2014,Mid Essex Hospital Services NHS Trust,1667,1707,1707,51,1656,0.9701230228471
22/06/2014,22/06/2014,The Princess Alexandra Hospital NHS Trust,2062,2062,2062,156,1906,0.92434529582929
22/06/2014,22/06/2014,East And North Hertfordshire NHS Trust,2642,2642,2642,100,2542,0.96214988644966
29/06/2014,29/06/2014,Cambridge University Hospitals NHS Foundation Trust,2159,2159,2159,299,1860,0.86150995831403
29/06/2014,29/06/2014,Ipswich Hospital NHS Trust,1618,1618,1618,48,1570,0.97033374536465
29/06/2014,29/06/2014,Mid Essex Hospital Services NHS Trust,1699,1736,1736,91,1645,0.94758064516129
29/06/2014,29/06/2014,The Princess Alexandra Hospital NHS Trust,2086,2086,2086,93,1993,0.95541706615532
29/06/2014,29/06/2014,East And North Hertfordshire NHS Trust,2757,2757,2757,190,2567,0.93108451215089
06/07/2014,06/07/2014,Cambridge University Hospitals NHS Foundation Trust,2098,2098,2098,295,1803,0.85938989513823
06/07/2014,06/07/2014,Ipswich Hospital NHS Trust,1584,1584,1584,82,1502,0.94823232323232
06/07/2014,06/07/2014,Mid Essex Hospital Services NHS Trust,1604,1629,1629,48,1581,0.97053406998158
06/07/2014,06/07/2014,The Princess Alexandra Hospital NHS Trust,2110,2110,2110,168,1942,0.92037914691943
06/07/2014,06/07/2014,East And North Hertfordshire NHS Trust,2699,2699,2699,106,2593,0.960726194887
13/07/2014,13/07/2014,Cambridge University Hospitals NHS Foundation Trust,2118,2118,2118,246,1872,0.88385269121813
13/07/2014,13/07/2014,Ipswich Hospital NHS Trust,1556,1556,1556,52,1504,0.96658097686375
13/07/2014,13/07/2014,Mid Essex Hospital Services NHS Trust,1744,1793,1793,134,1659,0.92526491912995
13/07/2014,13/07/2014,The Princess Alexandra Hospital NHS Trust,2056,2056,2056,204,1852,0.90077821011673
13/07/2014,13/07/2014,East And North Hertfordshire NHS Trust,2636,2636,2636,194,2442,0.92640364188164
20/07/2014,20/07/2014,Cambridge University Hospitals NHS Foundation Trust,2244,2244,2244,166,2078,0.92602495543672
20/07/2014,20/07/2014,Ipswich Hospital NHS Trust,1715,1715,1715,75,1640,0.95626822157434
20/07/2014,20/07/2014,Mid Essex Hospital Services NHS Trust,1623,1663,1663,81,1582,0.95129284425737
20/07/2014,20/07/2014,East And North Hertfordshire NHS Trust,2623,2623,2623,131,2492,0.95005718642775
27/07/2014,27/07/2014,Cambridge University Hospitals NHS Foundation Trust,2167,2167,2167,165,2002,0.9238578680203
27/07/2014,27/07/2014,Ipswich Hospital NHS Trust,1717,1717,1717,73,1644,0.95748398369249
27/07/2014,27/07/2014,Mid Essex Hospital Services NHS Trust,1692,1721,1721,36,1685,0.97908192911098
27/07/2014,27/07/2014,The Princess Alexandra Hospital NHS Trust,2054,2054,2054,200,1854,0.90262901655307
27/07/2014,27/07/2014,East And North Hertfordshire NHS Trust,2595,2595,2595,74,2521,0.97148362235067
03/08/2014,03/08/2014,Cambridge University Hospitals NHS Foundation Trust,2078,2078,2078,98,1980,0.95283926852743
03/08/2014,03/08/2014,Ipswich Hospital NHS Trust,1547,1547,1547,30,1517,0.98060762766645
03/08/2014,03/08/2014,Mid Essex Hospital Services NHS Trust,1573,1609,1609,55,1554,0.96581727781231
03/08/2014,03/08/2014,The Princess Alexandra Hospital NHS Trust,1862,1862,1862,98,1764,0.94736842105263
03/08/2014,03/08/2014,East And North Hertfordshire NHS Trust,2508,2508,2508,120,2388,0.95215311004785
10/08/2014,10/08/2014,Cambridge University Hospitals NHS Foundation Trust,2023,2023,2023,183,1840,0.90954028670292
10/08/2014,10/08/2014,Ipswich Hospital NHS Trust,1519,1519,1519,40,1479,0.97366688610928
10/08/2014,10/08/2014,Mid Essex Hospital Services NHS Trust,1601,1640,1640,95,1545,0.94207317073171
10/08/2014,10/08/2014,The Princess Alexandra Hospital NHS Trust,1935,1935,1935,195,1740,0.89922480620155
10/08/2014,10/08/2014,East And North Hertfordshire NHS Trust,2309,2309,2309,150,2159,0.93503681247293
17/08/2014,17/08/2014,Cambridge University Hospitals NHS Foundation Trust,1932,1932,1932,149,1783,0.92287784679089
17/08/2014,17/08/2014,Ipswich Hospital NHS Trust,1463,1463,1463,48,1415,0.96719070403281
17/08/2014,17/08/2014,Mid Essex Hospital Services NHS Trust,1564,1594,1594,113,1481,0.92910915934755
17/08/2014,17/08/2014,The Princess Alexandra Hospital NHS Trust,1811,1811,1811,240,1571,0.8674765323026
17/08/2014,17/08/2014,East And North Hertfordshire NHS Trust,2204,2204,2204,127,2077,0.94237749546279
24/08/2014,24/08/2014,Cambridge University Hospitals NHS Foundation Trust,1818,1818,1818,65,1753,0.96424642464246
24/08/2014,24/08/2014,Ipswich Hospital NHS Trust,1478,1478,1478,30,1448,0.97970230040595
24/08/2014,24/08/2014,Mid Essex Hospital Services NHS Trust,1547,1580,1580,121,1459,0.92341772151899
24/08/2014,24/08/2014,The Princess Alexandra Hospital NHS Trust,1810,1810,1810,153,1657,0.91546961325967
24/08/2014,24/08/2014,East And North Hertfordshire NHS Trust,2239,2239,2239,142,2097,0.93657882983475
31/08/2014,31/08/2014,Cambridge University Hospitals NHS Foundation Trust,1929,1929,1929,114,1815,0.94090202177294
31/08/2014,31/08/2014,Ipswich Hospital NHS Trust,1527,1527,1527,30,1497,0.9803536345776
31/08/2014,31/08/2014,Mid Essex Hospital Services NHS Trust,1608,1626,1626,361,1265,0.7779827798278
31/08/2014,31/08/2014,The Princess Alexandra Hospital NHS Trust,1902,1902,1902,229,1673,0.87960042060988
31/08/2014,31/08/2014,East And North Hertfordshire NHS Trust,2388,2388,2388,142,2246,0.94053601340033
07/09/2014,07/09/2014,Cambridge University Hospitals NHS Foundation Trust,1977,1977,1977,146,1831,0.9261507334345
07/09/2014,07/09/2014,Ipswich Hospital NHS Trust,1498,1498,1498,32,1466,0.97863818424566
07/09/2014,07/09/2014,Mid Essex Hospital Services NHS Trust,1643,1665,1665,176,1489,0.89429429429429
07/09/2014,07/09/2014,The Princess Alexandra Hospital NHS Trust,1943,1943,1943,297,1646,0.84714359238291
07/09/2014,07/09/2014,East And North Hertfordshire NHS Trust,2527,2527,2527,226,2301,0.91056588840522
14/09/2014,14/09/2014,Cambridge University Hospitals NHS Foundation Trust,2042,2042,2042,169,1873,0.91723800195886
14/09/2014,14/09/2014,Ipswich Hospital NHS Trust,1551,1551,1551,55,1496,0.9645390070922
14/09/2014,14/09/2014,Mid Essex Hospital Services NHS Trust,1654,1701,1701,144,1557,0.91534391534392
14/09/2014,14/09/2014,The Princess Alexandra Hospital NHS Trust,1901,1901,1901,151,1750,0.92056812204103
14/09/2014,14/09/2014,East And North Hertfordshire NHS Trust,2513,2513,2513,226,2287,0.91006764822921
21/09/2014,21/09/2014,Cambridge University Hospitals NHS Foundation Trust,2079,2079,2079,162,1917,0.92207792207792
21/09/2014,21/09/2014,Ipswich Hospital NHS Trust,1550,1550,1550,40,1510,0.9741935483871
21/09/2014,21/09/2014,Mid Essex Hospital Services NHS Trust,1704,1743,1743,189,1554,0.89156626506024
21/09/2014,21/09/2014,The Princess Alexandra Hospital NHS Trust,2073,2073,2073,182,1891,0.91220453449108
21/09/2014,21/09/2014,East And North Hertfordshire NHS Trust,2587,2587,2587,257,2330,0.90065713181291
28/09/2014,28/09/2014,Cambridge University Hospitals NHS Foundation Trust,2077,2077,2077,240,1837,0.88444872412133
28/09/2014,28/09/2014,Ipswich Hospital NHS Trust,1584,1584,1584,29,1555,0.98169191919192
28/09/2014,28/09/2014,Mid Essex Hospital Services NHS Trust,1709,1737,1737,157,1580,0.90961427748993
28/09/2014,28/09/2014,The Princess Alexandra Hospital NHS Trust,1986,1986,1986,130,1856,0.93454179254783
28/09/2014,28/09/2014,East And North Hertfordshire NHS Trust,2550,2550,2550,141,2409,0.94470588235294
05/10/2014,05/10/2014,Cambridge University Hospitals NHS Foundation Trust,2067,2067,2067,178,1889,0.91388485728108
05/10/2014,05/10/2014,Ipswich Hospital NHS Trust,1534,1534,1534,52,1482,0.96610169491525
05/10/2014,05/10/2014,Mid Essex Hospital Services NHS Trust,1706,1750,1750,194,1556,0.88914285714286
05/10/2014,05/10/2014,The Princess Alexandra Hospital NHS Trust,2109,2109,2109,118,1991,0.94404931247037
05/10/2014,05/10/2014,East And North Hertfordshire NHS Trust,2601,2601,2601,268,2333,0.89696270665129
12/10/2014,12/10/2014,Cambridge University Hospitals NHS Foundation Trust,2081,2081,2081,241,1840,0.8841902931283
12/10/2014,12/10/2014,Ipswich Hospital NHS Trust,1464,1464,1464,50,1414,0.96584699453552
12/10/2014,12/10/2014,Mid Essex Hospital Services NHS Trust,1560,1605,1605,172,1433,0.89283489096573
12/10/2014,12/10/2014,The Princess Alexandra Hospital NHS Trust,1969,1969,1969,147,1822,0.92534281361097
12/10/2014,12/10/2014,East And North Hertfordshire NHS Trust,2420,2420,2420,230,2190,0.90495867768595
19/10/2014,19/10/2014,Cambridge University Hospitals NHS Foundation Trust,2137,2137,2137,242,1895,0.8867571361722
19/10/2014,19/10/2014,Ipswich Hospital NHS Trust,1606,1606,1606,53,1553,0.96699875466999
19/10/2014,19/10/2014,Mid Essex Hospital Services NHS Trust,1587,1627,1627,142,1485,0.91272280270436
19/10/2014,19/10/2014,The Princess Alexandra Hospital NHS Trust,2138,2138,2138,253,1885,0.88166510757718
19/10/2014,19/10/2014,East And North Hertfordshire NHS Trust,2626,2626,2626,302,2324,0.88499619192688
26/10/2014,26/10/2014,Cambridge University Hospitals NHS Foundation Trust,2024,2024,2024,303,1721,0.85029644268775
26/10/2014,26/10/2014,Ipswich Hospital NHS Trust,1478,1478,1478,53,1425,0.96414073071719
26/10/2014,26/10/2014,Mid Essex Hospital Services NHS Trust,1728,1766,1766,222,1544,0.87429218573046
26/10/2014,26/10/2014,The Princess Alexandra Hospital NHS Trust,2025,2025,2025,144,1881,0.92888888888889
26/10/2014,26/10/2014,East And North Hertfordshire NHS Trust,2155,2621,2621,209,2412,0.9202594429607
02/11/2014,02/11/2014,Cambridge University Hospitals NHS Foundation Trust,2126,2126,2126,851,1275,0.5997177798683
02/11/2014,02/11/2014,Ipswich Hospital NHS Trust,1422,1422,1422,64,1358,0.9549929676512
02/11/2014,02/11/2014,Mid Essex Hospital Services NHS Trust,1601,1649,1649,240,1409,0.85445724681625
02/11/2014,02/11/2014,The Princess Alexandra Hospital NHS Trust,1923,1923,1923,108,1815,0.94383775351014
02/11/2014,02/11/2014,East And North Hertfordshire NHS Trust,2062,2441,2441,141,2300,0.94223678820156
07/12/2014,07/12/2014,Cambridge University Hospitals NHS Foundation Trust,1967,1967,1967,468,1499,0.76207422470768
07/12/2014,07/12/2014,Ipswich Hospital NHS Trust,1469,1469,1469,71,1398,0.95166780122532
07/12/2014,07/12/2014,Mid Essex Hospital Services NHS Trust,1650,1725,1725,229,1496,0.86724637681159
07/12/2014,07/12/2014,The Princess Alexandra Hospital NHS Trust,1995,1995,1995,464,1531,0.76741854636591
07/12/2014,07/12/2014,East And North Hertfordshire NHS Trust,2060,2474,2474,278,2196,0.88763136620857
09/11/2014,09/11/2014,Cambridge University Hospitals NHS Foundation Trust,2113,2113,2113,786,1327,0.628
09/11/2014,09/11/2014,Ipswich Hospital NHS Trust,1439,1439,1439,50,1389,0.965
09/11/2014,09/11/2014,Mid Essex Hospital Services NHS Trust,1593,1643,1643,118,1525,0.928
09/11/2014,09/11/2014,The Princess Alexandra Hospital NHS Trust,1942,1942,1942,144,1798,0.926
09/11/2014,09/11/2014,East And North Hertfordshire NHS Trust,2109,2575,2575,150,2425,0.942
16/11/2014,16/11/2014,Cambridge University Hospitals NHS Foundation Trust,2187,2187,2187,629,1558,0.712
16/11/2014,16/11/2014,Ipswich Hospital NHS Trust,1491,1491,1491,55,1436,0.963
16/11/2014,16/11/2014,Mid Essex Hospital Services NHS Trust,1653,1706,1706,96,1610,0.944
16/11/2014,16/11/2014,The Princess Alexandra Hospital NHS Trust,2026,2026,2026,189,1837,0.907
16/11/2014,16/11/2014,East And North Hertfordshire NHS Trust,2172,2604,2604,212,2392,0.919
23/11/2014,23/11/2014,Cambridge University Hospitals NHS Foundation Trust,2059,2059,2059,441,1618,0.786
23/11/2014,23/11/2014,Ipswich Hospital NHS Trust,1385,1385,1385,44,1341,0.968
23/11/2014,23/11/2014,Mid Essex Hospital Services NHS Trust,1610,1664,1664,154,1510,0.907
23/11/2014,23/11/2014,The Princess Alexandra Hospital NHS Trust,1966,1966,1966,137,1829,0.93
23/11/2014,23/11/2014,East And North Hertfordshire NHS Trust,2112,2557,2557,179,2378,0.93
30/11/2014,30/11/2014,Cambridge University Hospitals NHS Foundation Trust,2096,2096,2096,613,1483,0.708
30/11/2014,30/11/2014,Ipswich Hospital NHS Trust,1455,1455,1455,58,1397,0.96
30/11/2014,30/11/2014,Mid Essex Hospital Services NHS Trust,1633,1702,1702,245,1457,0.856
30/11/2014,30/11/2014,The Princess Alexandra Hospital NHS Trust,2006,2006,2006,328,1678,0.836
30/11/2014,30/11/2014,East And North Hertfordshire NHS Trust,2033,2482,2482,124,2358,0.95
14/12/2014,14/12/2014,Cambridge University Hospitals NHS Foundation Trust,2061,2061,2061,679,1382,0.671
14/12/2014,14/12/2014,Ipswich Hospital NHS Trust,1593,1593,1593,90,1503,0.944
14/12/2014,14/12/2014,Mid Essex Hospital Services NHS Trust,1687,1745,1745,369,1376,0.789
14/12/2014,14/12/2014,The Princess Alexandra Hospital NHS Trust,1999,1999,1999,418,1581,0.791
14/12/2014,14/12/2014,East And North Hertfordshire NHS Trust,1958,2471,2471,355,2116,0.856
21/12/2014,21/12/2014,Cambridge University Hospitals NHS Foundation Trust,1968,1968,1968,573,1395,0.709
21/12/2014,21/12/2014,Ipswich Hospital NHS Trust,1563,1563,1563,94,1469,0.94
21/12/2014,21/12/2014,Mid Essex Hospital Services NHS Trust,1723,1791,1791,355,1436,0.802
21/12/2014,21/12/2014,The Princess Alexandra Hospital NHS Trust,2109,2109,2109,530,1579,0.749
21/12/2014,21/12/2014,East And North Hertfordshire NHS Trust,1988,2497,2497,358,2139,0.857
28/12/2014,28/12/2014,Cambridge University Hospitals NHS Foundation Trust,1816,1816,1816,617,1199,0.66
28/12/2014,28/12/2014,Ipswich Hospital NHS Trust,1511,1511,1511,98,1413,0.935
28/12/2014,28/12/2014,Mid Essex Hospital Services NHS Trust,1561,1593,1593,207,1386,0.87
28/12/2014,28/12/2014,The Princess Alexandra Hospital NHS Trust,1855,1855,1855,416,1439,0.776
28/12/2014,28/12/2014,East And North Hertfordshire NHS Trust,1838,2256,2256,348,1908,0.846
04/01/2015,04/01/2015,Cambridge University Hospitals NHS Foundation Trust,1792,1792,1792,515,1277,0.713
04/01/2015,04/01/2015,Ipswich Hospital NHS Trust,1467,1467,1467,133,1334,0.909
04/01/2015,04/01/2015,Mid Essex Hospital Services NHS Trust,1506,1556,1556,383,1173,0.754
04/01/2015,04/01/2015,The Princess Alexandra Hospital NHS Trust,1794,1794,1794,553,1241,0.692
04/01/2015,04/01/2015,East And North Hertfordshire NHS Trust,1879,2331,2331,580,1751,0.751
11/01/2015,11/01/2015,Cambridge University Hospitals NHS Foundation Trust,1671,1671,1671,351,1320,0.79
11/01/2015,11/01/2015,Ipswich Hospital NHS Trust,1426,1426,1426,120,1306,0.916
11/01/2015,11/01/2015,Mid Essex Hospital Services NHS Trust,1505,1547,1547,353,1194,0.772
11/01/2015,11/01/2015,The Princess Alexandra Hospital NHS Trust,1664,1664,1664,358,1306,0.785
11/01/2015,11/01/2015,East And North Hertfordshire NHS Trust,1698,2128,2128,300,1828,0.859
18/01/2015,18/01/2015,Cambridge University Hospitals NHS Foundation Trust,1677,1677,1677,256,1421,0.847
18/01/2015,18/01/2015,Ipswich Hospital NHS Trust,1398,1398,1398,48,1350,0.966
18/01/2015,18/01/2015,Mid Essex Hospital Services NHS Trust,1477,1504,1504,330,1174,0.781
18/01/2015,18/01/2015,The Princess Alexandra Hospital NHS Trust,1650,1650,1650,469,1181,0.716
18/01/2015,18/01/2015,East And North Hertfordshire NHS Trust,1693,2140,2140,135,2005,0.937
