Week,DFI_Arrival Date,Name,Type 1 Attendances,Total attendances,Attendances,Breaches,Within,4 Hour Performance
17/11/2013,17/11/2013,Mid Essex Hospital Services NHS Trust,1467,1514,1514,65,1449,0.95706737120211
17/11/2013,17/11/2013,The Princess Alexandra Hospital NHS Trust,2004,2004,2004,75,1929,0.9625748502994
17/11/2013,17/11/2013,East And North Hertfordshire NHS Trust,2239,2239,2239,44,2195,0.98034836980795
24/11/2013,24/11/2013,Cambridge University Hospitals NHS Foundation Trust,1978,1978,1978,129,1849,0.93478260869565
24/11/2013,24/11/2013,Ipswich Hospital NHS Trust,1448,1448,1448,69,1379,0.95234806629834
24/11/2013,24/11/2013,Mid Essex Hospital Services NHS Trust,1456,1511,1511,60,1451,0.9602911978822
24/11/2013,24/11/2013,The Princess Alexandra Hospital NHS Trust,1960,1960,1960,105,1855,0.94642857142857
24/11/2013,24/11/2013,East And North Hertfordshire NHS Trust,2261,2261,2261,85,2176,0.96240601503759
01/12/2013,01/12/2013,Cambridge University Hospitals NHS Foundation Trust,1978,1978,1978,167,1811,0.91557128412538
01/12/2013,01/12/2013,Ipswich Hospital NHS Trust,1430,1430,1430,53,1377,0.96293706293706
01/12/2013,01/12/2013,Mid Essex Hospital Services NHS Trust,1477,1518,1518,49,1469,0.96772068511199
01/12/2013,01/12/2013,The Princess Alexandra Hospital NHS Trust,1995,1995,1995,229,1766,0.88521303258145
01/12/2013,01/12/2013,East And North Hertfordshire NHS Trust,2491,2491,2491,173,2318,0.93054997992774
08/12/2013,08/12/2013,Cambridge University Hospitals NHS Foundation Trust,2077,2077,2077,238,1839,0.88541165142032
08/12/2013,08/12/2013,Ipswich Hospital NHS Trust,1492,1492,1492,110,1382,0.92627345844504
08/12/2013,08/12/2013,Mid Essex Hospital Services NHS Trust,1583,1646,1646,123,1523,0.92527339003645
08/12/2013,08/12/2013,The Princess Alexandra Hospital NHS Trust,2071,2071,2071,215,1856,0.89618541767262
08/12/2013,08/12/2013,East And North Hertfordshire NHS Trust,2416,2416,2416,110,2306,0.9544701986755
15/12/2013,15/12/2013,Cambridge University Hospitals NHS Foundation Trust,1992,1992,1992,207,1785,0.8960843373494
15/12/2013,15/12/2013,Ipswich Hospital NHS Trust,1550,1550,1550,68,1482,0.95612903225806
15/12/2013,15/12/2013,Mid Essex Hospital Services NHS Trust,1543,1591,1591,105,1486,0.93400377121307
15/12/2013,15/12/2013,The Princess Alexandra Hospital NHS Trust,2040,2040,2040,254,1786,0.87549019607843
15/12/2013,15/12/2013,East And North Hertfordshire NHS Trust,2506,2506,2506,257,2249,0.8974461292897
22/12/2013,22/12/2013,Cambridge University Hospitals NHS Foundation Trust,1995,1995,1995,113,1882,0.94335839598997
22/12/2013,22/12/2013,Ipswich Hospital NHS Trust,1498,1498,1498,57,1441,0.96194926568758
22/12/2013,22/12/2013,Mid Essex Hospital Services NHS Trust,1451,1501,1501,52,1449,0.9653564290473
22/12/2013,22/12/2013,The Princess Alexandra Hospital NHS Trust,1909,1909,1909,209,1700,0.89051859612362
22/12/2013,22/12/2013,East And North Hertfordshire NHS Trust,2358,2358,2358,121,2237,0.94868532654792
29/12/2013,29/12/2013,Cambridge University Hospitals NHS Foundation Trust,1742,1742,1742,69,1673,0.96039035591274
29/12/2013,29/12/2013,Ipswich Hospital NHS Trust,1459,1459,1459,42,1417,0.97121315969842
29/12/2013,29/12/2013,Mid Essex Hospital Services NHS Trust,1250,1281,1281,77,1204,0.93989071038251
29/12/2013,29/12/2013,The Princess Alexandra Hospital NHS Trust,1834,1834,1834,147,1687,0.91984732824427
29/12/2013,29/12/2013,East And North Hertfordshire NHS Trust,2081,2081,2081,91,1990,0.95627102354637
05/01/2014,05/01/2014,Cambridge University Hospitals NHS Foundation Trust,1794,1794,1794,90,1704,0.94983277591973
